id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,rating,bedrooms,beds,baths
1312228,Rental unit in Brooklyn,7130382,Walter,Brooklyn,Clinton Hill,40.68371,-73.96461,Private room,55.0,30,3,5.0,1,1,Not specified
45277537,Rental unit in New York,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76661,-73.9881,Entire home/apt,144.0,30,9,4.67,2,1,1
971353993633883038,Rental unit in New York,528871354,Joshua,Manhattan,Chelsea,40.75076357257111,-73.99460514502687,Entire home/apt,187.0,2,6,4.17,1,2,1
3857863,Rental unit in New York,19902271,John And Catherine,Manhattan,Washington Heights,40.8356,-73.9425,Private room,120.0,30,156,4.64,1,1,1
40896611,Condo in New York,61391963,Stay With Vibe,Manhattan,Murray Hill,40.75112,-73.9786,Entire home/apt,85.0,30,11,4.91,Studio,1,1
49584983,Rental unit in New York,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.75995,-73.99296,Entire home/apt,115.0,30,5,5.0,1,1,1
45457047,Rental unit in New York,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76737,-73.98787,Entire home/apt,105.0,30,3,4.33,Studio,1,1
45847112,Rental unit in New York,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76519,-73.99013,Entire home/apt,130.0,30,10,4.50,2,2,1
19280212,Rental unit in Brooklyn,2526182,Margaux,Brooklyn,Williamsburg,40.71153,-73.95312,Private room,90.0,30,19,4.79,1,1,1
895681617796889995,Rental unit in Brooklyn,14251313,Kristin,Brooklyn,Sunset Park,40.65891327003646,-73.9895897321432,Entire home/apt,292.0,30,12,4.67,1,1,1
17367484,Rental unit in Queens,84109314,Mary,Queens,Astoria,40.76068,-73.90926,Private room,120.0,30,1,No rating,1,2,1
22066430,Rental unit in Brooklyn,20604809,Houman,Brooklyn,Williamsburg,40.7132,-73.96176,Entire home/apt,160.0,30,49,4.71,Studio,1,1
929978463825862773,Rental unit in New York,21662972,Youning,Manhattan,Financial District,40.709993540875125,-74.00499963435044,Entire home/apt,100.0,30,1,No rating,1,1,1
26448665,Rental unit in Queens,38713773,Fabrizio,Queens,Sunnyside,40.74347,-73.91396,Private room,70.0,30,1,No rating,1,1,1
28224871,Rental unit in New York,187148732,Yehudah,Manhattan,Washington Heights,40.83969,-73.93861,Entire home/apt,164.0,30,5,3.20,2,3,1
29923599,Serviced apartment in New York City,220229838,Chamber Hotel,Manhattan,Midtown,40.76176,-73.97659,Hotel room,1000.0,30,1,No rating,Studio,2,1
23053827,Home in East Elmhurst,171107511,Paola,Queens,East Elmhurst,40.76529,-73.86361,Private room,45.0,30,1,No rating,1,1,1
34718504,Condo in New York,6674394,Eri,Manhattan,Upper West Side,40.79283,-73.9719,Entire home/apt,425.0,180,1,No rating,2,2,2
39022484,Serviced apartment in New York,241889662,Incentra Village Guest House,Manhattan,West Village,40.73888,-74.00343,Private room,196.0,30,5,4.80,1,1,1
34511726,Rental unit in Brooklyn,260475429,Zahira,Brooklyn,Kensington,40.64304,-73.97964,Entire home/apt,120.0,30,26,4.65,1,1,1
35376453,Rental unit in Brooklyn,234383668,Federica,Brooklyn,Williamsburg,40.71336,-73.95495,Entire home/apt,100.0,30,1,No rating,1,2,1
34621385,Rental unit in Brooklyn,3899139,David,Brooklyn,Bushwick,40.70477,-73.92671,Entire home/apt,220.0,30,12,5.0,2,2,1
36819630,Rental unit in Brooklyn,188207570,Claire,Brooklyn,Red Hook,40.67673,-74.00194,Entire home/apt,84.0,30,4,4.75,1,1,1
35574095,Rental unit in New York,7258900,Jill,Manhattan,Tribeca,40.71446,-74.00826,Private room,200.0,30,1,No rating,1,1,1
950726818995939836,Hotel in New York,215565541,LuxUrban,Manhattan,Hell's Kitchen,40.76034569999999,-73.9877968,Private room,261.0,1,2,No rating,1,1,1
40658238,Townhouse in Queens,150022684,Hoang,Queens,Woodside,40.74376,-73.90008,Private room,85.0,30,1,No rating,1,2,1
39558009,Rental unit in New York,303941435,David,Manhattan,Roosevelt Island,40.76381,-73.94959,Private room,70.0,30,1,No rating,1,1,1.5
39899915,Rental unit in The Bronx,307330962,Juan,Bronx,Concourse Village,40.82859,-73.91957,Private room,60.0,30,9,4.89,1,1,1
7070705,Rental unit in Brooklyn,37072479,Joseph,Brooklyn,Williamsburg,40.71905,-73.95937,Private room,90.0,30,7,4.43,1,1,1
593512409390835064,Rental unit in New York,4068562,Dominique,Manhattan,Harlem,40.82378,-73.9508,Entire home/apt,75.0,30,2,No rating,1,1,1
45938560,Rental unit in Brooklyn,6913051,Ivan,Brooklyn,Williamsburg,40.71265,-73.96539,Private room,106.0,30,8,5.0,1,1,1
46156111,Rental unit in Brooklyn,3223938,Eugene,Brooklyn,Flatbush,40.65442,-73.95565,Private room,36.0,90,1,No rating,1,1,2
952770872245256198,Hotel in Brooklyn,215565541,LuxUrban,Brooklyn,Williamsburg,40.707258,-73.93397209999999,Private room,220.0,1,3,4.33,1,1,1
48194167,Rental unit in The Bronx,388818764,Mildred,Bronx,University Heights,40.85615,-73.9152,Private room,55.0,30,2,No rating,1,1,1
661761693245194085,Home in Queens,45400201,Shauna,Queens,Flushing,40.75972,-73.81527,Private room,69.0,30,28,4.82,1,1,1
235951,Condo in New York,1236070,Daniel,Manhattan,Midtown,40.75408,-73.97071,Entire home/apt,188.0,30,155,4.69,1,1,1
48298348,Rental unit in Queens,309612914,Abeer,Queens,East Elmhurst,40.76366,-73.86133,Private room,99.0,30,6,5.0,1,1,1
367810,Loft in Brooklyn,1728785,Veronika,Brooklyn,Greenpoint,40.73626,-73.95634,Private room,180.0,30,11,5.0,2,1,1
271694,Rental unit in New York,1387370,James,Manhattan,Midtown,40.75282,-73.97315,Entire home/apt,125.0,365,19,4.11,1,1,1
13213869,Rental unit in New York,38284609,Emily,Manhattan,Washington Heights,40.84387,-73.94179,Private room,85.0,30,10,4.90,1,1,1.5
